longitude,latitude,elevation,magnitude,magnitude^10,place,id,time,dt,year
22.1756,39.7641,10.0,6.3,98493029.18817906,"10 km WNW of Týrnavos, Greece",us7000df40,1614766570197,2021-03-03 18:16:10.197,2021
-176.7452,-14.8457,2.41,6.1,71334291.16628821,"158 km ESE of Alo, Wallis and Futuna",us6000dip3,1613662247784,2021-02-18 23:30:47.784,2021
168.0604,-18.939,10.0,6.1,71334291.16628821,"135 km SSW of Port-Vila, Vanuatu",us6000dila,1613630250112,2021-02-18 14:37:30.112,2021
171.7786,-23.184,12.0,6.1,71334291.16628821,southeast of the Loyalty Islands,us6000dii3,1613602178110,2021-02-18 06:49:38.110,2021
167.5901,-17.8192,5.59,6.2,83929936.58683404,"77 km W of Port-Vila, Vanuatu",us6000dhxn,1613436564078,2021-02-16 08:49:24.078,2021
141.7196,37.7602,51.89,7.1,325524355.100988,"70 km ENE of Namie, Japan",us6000dher,1613225270838,2021-02-13 22:07:50.838,2021
171.8212,-23.4143,10.0,6.0,60466176.0,southeast of the Loyalty Islands,us6000dgkr,1613026348086,2021-02-11 14:52:28.086,2021
171.5876,-23.1944,12.0,6.2,83929936.58683404,southeast of the Loyalty Islands,us6000dge5,1612992240835,2021-02-11 05:24:00.835,2021
171.2118,-22.7157,14.0,6.1,71334291.16628821,southeast of the Loyalty Islands,us6000dgc7,1612982201961,2021-02-11 02:36:41.961,2021
171.173,-22.8106,11.69,6.1,71334291.16628821,southeast of the Loyalty Islands,us6000dgb4,1612974922999,2021-02-11 00:35:22.999,2021
171.657,-23.0508,10.0,7.7,732668047.2586203,southeast of the Loyalty Islands,us6000dg77,1612963195532,2021-02-10 21:19:55.532,2021
171.6427,-22.7405,10.0,6.1,71334291.16628821,southeast of the Loyalty Islands,us6000dg72,1612962119148,2021-02-10 21:01:59.148,2021
101.6516,-5.6783,10.0,6.2,83929936.58683404,"218 km SSW of Bengkulu, Indonesia",us6000dg70,1612961547233,2021-02-10 20:52:27.233,2021
171.6558,-22.8357,11.0,6.0,60466176.0,southeast of the Loyalty Islands,us6000dg6u,1612959861490,2021-02-10 20:24:21.490,2021
146.1444,-3.3226,10.0,6.3,98493029.18817906,"189 km SW of Lorengau, Papua New Guinea",us6000dfad,1612676751377,2021-02-07 13:45:51.377,2021
125.1011,6.7693,16.0,6.0,60466176.0,"9 km W of Magsaysay, Philippines",us6000df9r,1612671776667,2021-02-07 12:22:56.667,2021
-97.8,-36.2797,10.0,6.7,182283780.4551762,West Chile Rise,us6000de34,1612329823520,2021-02-03 13:23:43.520,2021
-55.5034,-61.8101,7.66,6.9,244619406.06547612,South Shetland Islands,us7000d2rx,1611445010579,2021-01-24 07:36:50.579,2021
127.5145,4.9931,80.0,7.0,282475249.0,"211 km SE of Pondaguitan, Philippines",us7000d20e,1611231784255,2021-01-21 20:23:04.255,2021
-68.8221,-31.8421,16.87,6.4,115292150.46068476,"28 km SW of Pocito, Argentina",us7000d18q,1611024381823,2021-01-19 10:46:21.823,2021
118.8893,-2.9711,18.0,6.2,83929936.58683404,"Sulawesi, Indonesia",us7000d030,1610648898081,2021-01-15 02:28:18.081,2021
100.4383,51.2811,10.0,6.7,182283780.4551762,"29 km SSW of Turt, Mongolia",us6000d7ix,1610400779015,2021-01-12 05:32:59.015,2021
167.8826,-16.0347,160.0,6.1,71334291.16628821,"50 km E of Lakatoro, Vanuatu",us6000d764,1610261300094,2021-01-10 14:48:20.094,2021
-66.5729,-24.0412,217.0,6.1,71334291.16628821,"32 km NW of San Antonio de los Cobres, Argentina",us6000d74p,1610250854483,2021-01-10 11:54:14.483,2021
169.8821,-20.7367,113.0,6.1,71334291.16628821,"146 km SSE of Isangel, Vanuatu",us6000d6my,1610082064246,2021-01-08 13:01:04.246,2021
-178.744,-29.4295,224.0,6.3,98493029.18817906,"Kermadec Islands, New Zealand",us6000d6lg,1610065730091,2021-01-08 08:28:50.091,2021
122.9487,0.0658,148.0,6.1,71334291.16628821,"53 km SSW of Gorontalo, Indonesia",us6000d69r,1609966774315,2021-01-07 04:59:34.315,2021
-177.2713,-28.6357,38.49,6.2,83929936.58683404,Kermadec Islands region,us6000d5zz,1609914035947,2021-01-06 14:20:35.947,2021
-179.793,51.2199,21.0,6.1,71334291.16628821,"230 km WSW of Adak, Alaska",us6000d58t,1609677528915,2021-01-03 20:38:48.915,2021
16.2573,45.4244,10.0,6.4,115292150.46068476,"2 km WSW of Petrinja, Croatia",us6000d3zh,1609240794762,2020-12-29 19:19:54.762,2020
-74.9849,-39.3398,10.0,6.7,182283780.4551762,"146 km WNW of Corral, Chile",us6000d3i9,1609105154770,2020-12-28 05:39:14.770,2020
120.6539,13.82,109.0,6.3,98493029.18817906,"2 km ESE of Calatagan, Philippines",us6000d2ra,1608853421964,2020-12-25 07:43:41.964,2020
133.6362,6.2544,11.0,6.1,71334291.16628821,"90 km SW of Angaur State, Palau",us6000d29t,1608747107762,2020-12-24 02:11:47.762,2020
142.5814,40.8667,35.0,6.3,98493029.18817906,"100 km ENE of Hachinohe, Japan",us7000csqe,1608485002668,2020-12-21 01:23:22.668,2020
125.4212,5.1789,14.0,6.1,71334291.16628821,"25 km S of Sarangani, Philippines",us7000crdx,1608074517807,2020-12-16 07:21:57.807,2020
-68.7079,-21.8063,114.0,6.0,60466176.0,"75 km NNE of Calama, Chile",us7000cqyz,1607959249542,2020-12-14 23:20:49.542,2020
122.0243,24.7818,71.0,6.1,71334291.16628821,"27 km E of Yilan, Taiwan",us7000cpqz,1607606398682,2020-12-10 21:19:58.682,2020
-69.0609,-20.3947,105.0,6.1,71334291.16628821,"115 km E of Iquique, Chile",us7000cnnz,1607273262643,2020-12-07 00:47:42.643,2020
154.7341,-61.9496,10.0,6.0,60466176.0,Balleny Islands region,us7000clt8,1606855977066,2020-12-02 04:52:57.066,2020
-168.2401,52.7551,23.0,6.4,115292150.46068476,"46 km ESE of Nikolski, Alaska",us7000clnv,1606839759923,2020-12-02 00:22:39.923,2020
-67.0048,-24.3221,189.0,6.3,98493029.18817906,"70 km W of San Antonio de los Cobres, Argentina",us7000clbs,1606776903914,2020-12-01 06:55:03.914,2020
140.7971,48.2521,589.0,6.4,115292150.46068476,"88 km SSE of Sovetskaya Gavan’, Russia",us7000clbu,1606776874601,2020-12-01 06:54:34.601,2020
-73.0596,-34.5978,22.0,6.1,71334291.16628821,"100 km NW of Constitución, Chile",us6000crcq,1606006496794,2020-11-22 08:54:56.794,2020
99.3227,-2.6706,19.0,6.0,60466176.0,"222 km SSW of Padang, Indonesia",us7000cfxq,1605577451421,2020-11-17 09:44:11.421,2020
126.2914,8.7572,43.0,6.0,60466176.0,"5 km S of Marihatag, Philippines",us7000cfes,1605479863690,2020-11-16 06:37:43.690,2020
-177.561,-19.7177,417.0,6.0,60466176.0,"291 km WNW of Haveluloto, Tonga",us7000cd6e,1605055724122,2020-11-11 08:48:44.122,2020
-173.5276,-15.2458,34.0,6.2,83929936.58683404,Tonga,us7000cbr2,1604741225498,2020-11-07 17:27:05.498,2020
-79.375,-44.4111,10.0,6.0,60466176.0,"Off the coast of Aisen, Chile",us7000c9jz,1604371254919,2020-11-03 10:40:54.919,2020
26.7838,37.8973,21.0,7.0,282475249.0,"13 km NNE of Néon Karlovásion, Greece",us7000c7y0,1604058687348,2020-10-30 19:51:27.348,2020
-179.9621,-25.634,454.0,6.1,71334291.16628821,south of the Fiji Islands,us6000cbx8,1603436670940,2020-10-23 15:04:30.940,2020
-159.6258,54.602,28.37,7.6,642888893.2339939,"99 km SE of Sand Point, Alaska",us6000c9hg,1603140878950,2020-10-20 04:54:38.950,2020
146.1738,-6.0942,106.0,6.3,98493029.18817906,"40 km ENE of Kainantu, Papua New Guinea",us6000c6mu,1602142532524,2020-10-08 15:35:32.524,2020
148.6656,-5.9961,74.0,6.1,71334291.16628821,"100 km WNW of Kandrian, Papua New Guinea",us6000c3td,1601548485149,2020-10-01 18:34:45.149,2020
-174.1217,-19.5385,28.0,6.4,115292150.46068476,Tonga,us6000c3kz,1601514816524,2020-10-01 09:13:36.524,2020
31.7404,-48.0249,10.0,6.1,71334291.16628821,south of Africa,us6000c1np,1601140222462,2020-09-27 01:10:22.462,2020
-26.8533,0.9298,10.0,6.9,244619406.06547612,central Mid-Atlantic Ridge,us7000bq10,1600465439027,2020-09-19 05:43:59.027,2020
158.3783,55.9733,344.0,6.4,115292150.46068476,"21 km WNW of Esso, Russia",us7000bnd1,1600141288036,2020-09-15 11:41:28.036,2020
142.2446,38.7482,34.0,6.1,71334291.16628821,"58 km SE of Ōfunato, Japan",us7000bm9m,1599878651224,2020-09-12 10:44:11.224,2020
-69.9096,-21.3968,51.0,6.2,83929936.58683404,"82 km NNE of Tocopilla, Chile",us7000blm2,1599809757187,2020-09-11 15:35:57.187,2020
168.5034,-17.1102,10.0,6.2,83929936.58683404,"72 km NNE of Port-Vila, Vanuatu",us7000bj6y,1599459159688,2020-09-07 14:12:39.688,2020
125.8285,6.2693,120.0,6.3,98493029.18817906,"17 km E of Talagutong, Philippines",us7000biyd,1599405823148,2020-09-06 23:23:43.148,2020
-37.1544,7.6829,10.0,6.7,182283780.4551762,central Mid-Atlantic Ridge,us7000biu8,1599375078470,2020-09-06 14:51:18.470,2020
167.5321,-17.1562,10.0,6.2,83929936.58683404,"104 km NW of Port-Vila, Vanuatu",us7000birm,1599361156073,2020-09-06 10:59:16.073,2020
-71.4912,-30.3388,30.0,6.3,98493029.18817906,"40 km NW of Ovalle, Chile",us7000biqb,1599355018935,2020-09-06 09:16:58.935,2020
-71.3701,-27.9162,16.0,6.5,134627433.44628906,"94 km NW of Vallenar, Chile",us7000bg4v,1598994557852,2020-09-02 05:09:17.852,2020
-71.2662,-28.0315,16.18,6.3,98493029.18817906,"78 km NW of Vallenar, Chile",us7000bfjx,1598934602173,2020-09-01 12:30:02.173,2020
-71.3062,-27.9686,21.0,6.8,211392282.015721,"86 km NW of Vallenar, Chile",us7000bfjr,1598933368470,2020-09-01 12:09:28.470,2020
70.1973,-4.0158,10.0,6.1,71334291.16628821,Chagos Archipelago region,us7000bfbx,1598894644946,2020-09-01 01:24:04.946,2020
-29.8656,0.7821,10.0,6.5,134627433.44628906,central Mid-Atlantic Ridge,us7000bf3k,1598822429757,2020-08-31 05:20:29.757,2020
151.8365,-5.5454,22.0,6.2,83929936.58683404,"141 km SSW of Kokopo, Papua New Guinea",us7000bcty,1598382532908,2020-08-26 03:08:52.908,2020
151.8638,-5.5579,23.0,6.0,60466176.0,"141 km SSW of Kokopo, Papua New Guinea",us7000bctq,1598382178437,2020-08-26 03:02:58.437,2020
-84.6376,9.5785,20.0,6.0,60466176.0,"4 km SSW of Jacó, Costa Rica",us7000bcbv,1598305869259,2020-08-25 05:51:09.259,2020
123.4649,-6.71,624.0,6.9,244619406.06547612,"222 km SSE of Katabu, Indonesia",us6000bi4p,1597982991930,2020-08-21 12:09:51.930,2020
101.2411,-4.2069,26.0,6.9,244619406.06547612,"122 km WSW of Bengkulu, Indonesia",us6000bgvu,1597789764731,2020-08-19 06:29:24.731,2020
101.1347,-4.3217,22.0,6.8,211392282.015721,"138 km WSW of Bengkulu, Indonesia",us6000bgvl,1597789439497,2020-08-19 06:23:59.497,2020
124.1272,12.0257,10.0,6.6,156833688.0910795,"13 km E of San Pedro, Philippines",us6000bgbr,1597709028566,2020-08-18 08:03:48.566,2020
39.8126,-7.3327,17.55,6.0,60466176.0,"66 km NNE of Kilindoni, Tanzania",us6000bdg8,1597252396180,2020-08-13 01:13:16.180,2020
42.4486,-41.6794,10.0,6.3,98493029.18817906,Prince Edward Islands region,us6000badi,1596757004553,2020-08-07 07:36:44.553,2020
168.065,-16.0944,181.88,6.4,115292150.46068476,"69 km E of Lakatoro, Vanuatu",us6000b9mv,1596629136589,2020-08-05 20:05:36.589,2020
148.6496,-3.1951,10.0,6.1,71334291.16628821,"199 km SE of Lorengau, Papua New Guinea",us6000b84f,1596309725163,2020-08-02 03:22:05.163,2020
124.1331,7.2932,483.0,6.4,115292150.46068476,"11 km SW of Polloc, Philippines",us6000b80p,1596301741952,2020-08-02 01:09:01.952,2020
-161.2041,54.7905,35.15,6.1,71334291.16628821,Alaska Peninsula,us6000b56k,1595923423215,2020-07-28 16:03:43.215,2020
-25.413,-60.7833,10.0,6.4,115292150.46068476,South Sandwich Islands region,us6000b46r,1595724839061,2020-07-26 08:53:59.061,2020
86.8637,33.1438,10.0,6.3,98493029.18817906,western Xizang,us6000b26j,1595448439194,2020-07-23 04:07:19.194,2020
-159.0413,54.969,16.53,6.1,71334291.16628821,"101 km ESE of Sand Point, Alaska",us7000asx4,1595398578627,2020-07-22 14:16:18.627,2020
-158.596,55.0715,28.0,7.8,833577583.1236198,"99 km SSE of Perryville, Alaska",us7000asvb,1595398364810,2020-07-22 14:12:44.810,2020
-178.6325,-20.8045,605.2,6.0,60466176.0,Fiji region,us7000asms,1595364985167,2020-07-22 04:56:25.167,2020
-172.694,-15.2553,12.0,6.1,71334291.16628821,"141 km ENE of Hihifo, Tonga",us7000aqwd,1595086356835,2020-07-18 23:32:36.835,2020
94.9362,11.8485,10.0,6.1,71334291.16628821,"239 km E of Port Blair, India",us7000aqaw,1594994620437,2020-07-17 22:03:40.437,2020
147.7704,-7.836,73.0,7.0,282475249.0,"114 km NNW of Popondetta, Papua New Guinea",us7000aq3e,1594954222178,2020-07-17 10:50:22.178,2020
110.6893,-5.6023,533.76,6.6,156833688.0910795,"97 km N of Batang, Indonesia",us7000aj3w,1594076087538,2020-07-07 06:54:47.538,2020
140.2476,12.0809,10.0,6.2,83929936.58683404,"257 km N of Fais, Micronesia",us7000aixy,1594059378418,2020-07-07 02:16:18.418,2020
82.4158,35.5948,10.0,6.3,98493029.18817906,"278 km SE of Hotan, China",us7000abmk,1593119118140,2020-06-26 05:05:18.140,2020
-96.0077,15.8861,20.0,7.4,492399039.73558795,"9 km SE of Santa María Xadani, Mexico",us6000ah9t,1592926144350,2020-06-23 23:29:04.350,2020
123.7866,0.0368,109.0,6.0,60466176.0,"97 km SE of Gorontalo, Indonesia",us6000ah1z,1592898209219,2020-06-23 15:43:29.219,2020
-18.707,66.381,10.0,6.0,60466176.0,"27 km NNE of Siglufjörður, Iceland",us6000ag18,1592766474833,2020-06-22 03:07:54.833,2020
-177.8571,-33.2927,10.0,7.4,492399039.73558795,south of the Kermadec Islands,us6000ae4n,1592484593844,2020-06-18 20:49:53.844,2020
145.1116,18.9317,622.0,6.2,83929936.58683404,"Pagan region, Northern Mariana Islands",us6000abgq,1592082510503,2020-06-14 05:08:30.503,2020
128.2713,28.8591,165.0,6.6,156833688.0910795,"130 km WNW of Naze, Japan",us6000abcq,1592063484069,2020-06-13 23:51:24.069,2020
-13.0363,-15.8069,10.0,6.0,60466176.0,southern Mid-Atlantic Ridge,us6000a9ik,1591819130008,2020-06-11 03:58:50.008,2020
128.248,2.911,112.86,6.4,115292150.46068476,"133 km NNE of Tobelo, Indonesia",us6000a5r3,1591260580397,2020-06-04 16:49:40.397,2020
-176.7113,-24.6746,69.85,6.0,60466176.0,south of the Fiji Islands,us6000a532,1591176695257,2020-06-03 17:31:35.257,2020
-68.4677,-23.274,112.0,6.8,211392282.015721,"48 km SW of San Pedro de Atacama, Chile",us6000a4yi,1591169736466,2020-06-03 15:35:36.466,2020
-70.7731,-15.3256,186.0,6.1,71334291.16628821,"43 km W of Lampa, Peru",us6000a316,1590901778593,2020-05-31 13:09:38.593,2020
-174.4196,-22.2146,10.0,6.0,60466176.0,"111 km SSE of ‘Ohonua, Tonga",us6000a0um,1590650325146,2020-05-28 15:18:45.146,2020
167.8743,-17.5304,9.73,6.2,83929936.58683404,"51 km WNW of Port-Vila, Vanuatu",us60009zv5,1590563349853,2020-05-27 15:09:09.853,2020
-108.1275,22.4152,10.0,6.1,71334291.16628821,"173 km ESE of La Playa, Mexico",us70009n5p,1590137166973,2020-05-22 16:46:06.973,2020
-117.8497,38.1689,2.7,6.5,134627433.44628906,"Monte Cristo Range, NV Earthquake",nn00725272,1589540607176,2020-05-15 19:03:27.176,2020
166.6485,-12.0665,107.0,6.6,156833688.0910795,"175 km SSE of Lata, Solomon Islands",us70009f12,1589323272177,2020-05-13 06:41:12.177,2020
154.741,-4.4643,471.17,6.1,71334291.16628821,"215 km NNW of Arawa, Papua New Guinea",us70009bn4,1588850480152,2020-05-07 19:21:20.152,2020
129.7852,-6.7761,96.0,6.8,211392282.015721,Banda Sea,us70009b14,1588773235940,2020-05-06 21:53:55.940,2020
25.7101,34.1818,10.0,6.5,134627433.44628906,"91 km S of Néa Anatolí, Greece",us700098qd,1588423865561,2020-05-02 20:51:05.561,2020
154.2347,-6.5337,19.0,6.1,71334291.16628821,"140 km W of Panguna, Papua New Guinea",us60009c06,1587783186698,2020-04-25 10:53:06.698,2020
142.0049,38.8953,38.0,6.3,98493029.18817906,"31 km SE of Ōfunato, Japan",us7000903m,1587328745639,2020-04-20 04:39:05.639,2020
140.1349,27.1264,453.0,6.6,156833688.0910795,"Bonin Islands, Japan region",us70008z89,1587198337052,2020-04-18 16:25:37.052,2020
-85.6851,16.9591,12.0,6.1,71334291.16628821,"59 km NNE of Savannah Bight, Honduras",us70008xeb,1587024277829,2020-04-16 16:04:37.829,2020
-176.3478,-30.3889,31.0,6.0,60466176.0,"194km SE of Raoul Island, New Zealand",us70008vsp,1586826407913,2020-04-14 09:06:47.913,2020
77.393,-36.9558,10.0,6.1,71334291.16628821,"97km N of Amsterdam Island, France",us70008um8,1586674667541,2020-04-12 14:57:47.541,2020
126.4381,1.395,42.0,6.0,60466176.0,"123km WNW of Kota Ternate, Indonesia",us70008peg,1586111830876,2020-04-06 02:37:10.876,2020
-115.1175,44.4646,12.06,6.5,134627433.44628906,"70km W of Challis, Idaho",us70008jr5,1585698750781,2020-04-01 07:52:30.781,2020
125.0521,5.5669,59.0,6.1,71334291.16628821,"27km SW of Burias, Philippines",us70008ghw,1585237084089,2020-03-26 23:38:04.089,2020
157.6955,48.9638,57.8,7.5,563135147.0947266,"221km SSE of Severo-Kuril'sk, Russia",us70008fi4,1585104561160,2020-03-25 10:49:21.160,2020
-104.9519,-4.6744,10.0,6.1,71334291.16628821,Central East Pacific Rise,us70008e91,1584916684810,2020-03-23 06:38:04.810,2020
115.1378,-11.0521,20.68,6.2,83929936.58683404,"245km S of Kangin, Indonesia",us60008hzl,1584553539299,2020-03-19 01:45:39.299,2020
167.0277,-13.1364,176.0,6.1,71334291.16628821,"100km NW of Sola, Vanuatu",us60008hkg,1584501225742,2020-03-18 11:13:45.742,2020
-172.1911,-16.0252,10.0,6.0,60466176.0,"167km E of Hihifo, Tonga",us60008h76,1584461182370,2020-03-18 00:06:22.370,2020
-175.6102,-27.367,11.0,6.4,115292150.46068476,Kermadec Islands region,us60008fl8,1584180077118,2020-03-14 18:01:17.118,2020
58.3242,-31.368,10.0,6.0,60466176.0,Southwest Indian Ridge,us60008ay3,1583490522029,2020-03-06 18:28:42.029,2020
131.1196,-7.4887,54.0,6.0,60466176.0,"55km NNW of Saumlaki, Indonesia",us600084gu,1582702392952,2020-02-26 15:33:12.952,2020
44.3732,38.4958,10.0,6.0,60466176.0,"24km SE of Saray, Turkey",us70007v9g,1582473631626,2020-02-24 00:00:31.626,2020
148.959,45.6161,143.0,7.0,282475249.0,"94km ENE of Kuril'sk, Russia",us70007pa9,1581590024406,2020-02-13 18:33:44.406,2020
152.1522,-5.4925,34.0,6.1,71334291.16628821,"126km S of Kokopo, Papua New Guinea",us70007lwy,1581228269967,2020-02-09 14:04:29.967,2020
-25.5526,-59.9212,16.0,6.0,60466176.0,"113km SSE of Bristol Island, South Sandwich Islands",us70007lik,1581172378625,2020-02-08 22:32:58.625,2020
126.5692,5.4543,19.0,6.0,60466176.0,"109km SSE of Pondaguitan, Philippines",us70007jwn,1580996405791,2020-02-06 21:40:05.791,2020
113.0778,-6.0817,592.42,6.2,83929936.58683404,"108km NNE of Krajan Pangkah Kulon, Indonesia",us70007j6z,1580926357734,2020-02-06 02:12:37.734,2020
161.2756,-10.418,85.0,6.0,60466176.0,"70km W of Kirakira, Solomon Islands",us60007j2w,1580305789744,2020-01-29 21:49:49.744,2020
-80.7411,18.9457,10.0,6.1,71334291.16628821,"55km SE of East End, Cayman Islands",us60007iig,1580248516450,2020-01-29 05:55:16.450,2020
-78.756,19.4193,14.86,7.7,732668047.2586203,"123km NNW of Lucea, Jamaica",us60007idc,1580238624918,2020-01-29 03:10:24.918,2020
161.0606,-10.0929,21.0,6.3,98493029.18817906,"102km WNW of Kirakira, Solomon Islands",us60007gyx,1580101321704,2020-01-27 13:02:01.704,2020
-179.8892,51.1338,17.0,6.1,71334291.16628821,"56km WSW of Amatignak Island, Alaska",us60007g8m,1580020315398,2020-01-26 14:31:55.398,2020
39.0609,38.4312,10.0,6.7,182283780.4551762,"13km N of Doganyol, Turkey",us60007ewc,1579888514147,2020-01-25 01:55:14.147,2020
-177.855,51.9836,10.0,6.2,83929936.58683404,"22km ENE of Tanaga Volcano, Alaska",us60007djn,1579758782618,2020-01-23 13:53:02.618,2020
-26.282,-59.2277,93.0,6.1,71334291.16628821,"25km SSE of Bristol Island, South Sandwich Islands",us60007b5x,1579503097818,2020-01-20 14:51:37.818,2020
123.8025,-0.1042,121.72,6.1,71334291.16628821,"57km SSW of Molibagu, Indonesia",us60007arp,1579453100002,2020-01-20 00:58:20.002,2020
77.1084,39.8353,5.55,6.0,60466176.0,"86km ENE of Arzak, China",us60007anp,1579440476630,2020-01-19 21:27:56.630,2020
139.3363,-2.8405,44.0,6.0,60466176.0,"140km W of Abepura, Indonesia",us60007a3h,1579365494301,2020-01-19 00:38:14.301,2020
171.0611,62.358,10.0,6.4,115292150.46068476,"Chukotskiy Avtonomnyy Okrug, Russia",us70006wuf,1578559088278,2020-01-09 16:38:08.278,2020
151.2659,-5.2046,117.0,6.0,60466176.0,"130km ENE of Kimbe, Papua New Guinea",us70006vvr,1578424295665,2020-01-08 03:11:35.665,2020
-66.8,17.9,7.0,6.6,156833688.0910795,"10km S of Indios, Puerto Rico",at00q3qa0q,1578385466000,2020-01-07 16:24:26.000,2020
-66.8266,17.8686,8.95,6.4,115292150.46068476,"13km S of Indios, Puerto Rico",us70006vll,1578385465262,2020-01-07 16:24:25.262,2020
96.3575,2.3481,17.0,6.3,98493029.18817906,"14km S of Sinabang, Indonesia",us70006vkq,1578377119759,2020-01-07 14:05:19.759,2020
-115.8438,-25.2226,10.0,6.1,71334291.16628821,Southern East Pacific Rise,us70006r1g,1577305212751,2019-12-26 04:20:12.751,2019
-129.963,50.6106,6.58,6.3,98493029.18817906,"180km W of Port Hardy, Canada",us70006qt7,1577244961626,2019-12-25 11:36:01.626,2019
-74.0176,3.5359,11.0,6.0,60466176.0,"1km NNE of Lejanias, Colombia",us70006qnn,1577214232492,2019-12-25 03:03:52.492,2019
-63.3857,-26.964,572.44,6.0,60466176.0,"16km WNW of El Hoyo, Argentina",us70006qk4,1577205813420,2019-12-25 00:43:33.420,2019
-129.7573,50.5169,10.0,6.0,60466176.0,"166km W of Port Hardy, Canada",us70006q96,1577134583555,2019-12-24 04:56:23.555,2019
-129.9372,50.6071,10.0,6.0,60466176.0,"178km W of Port Hardy, Canada",us70006q8n,1577130583086,2019-12-24 03:49:43.086,2019
70.4555,36.5374,212.0,6.1,71334291.16628821,"49km SW of Jarm, Afghanistan",us70006p18,1576841992874,2019-12-20 19:39:52.874,2019
125.1739,6.6969,18.0,6.8,211392282.015721,"7km S of Magsaysay, Philippines",us60006rp9,1576390311155,2019-12-15 14:11:51.155,2019
167.7089,-14.3628,7.51,6.0,60466176.0,"55km SSE of Sola, Vanuatu",us60006rem,1576299454937,2019-12-14 12:57:34.937,2019
-175.1035,-15.2594,10.0,6.0,60466176.0,"164km WNW of Hihifo, Tonga",us60006n19,1575637486540,2019-12-06 21:04:46.540,2019
169.5748,-19.0677,266.0,6.0,60466176.0,"62km NNE of Isangel, Vanuatu",us60006m2j,1575490203595,2019-12-05 04:10:03.595,2019
-70.576,-18.5042,38.0,6.0,60466176.0,"28km W of Arica, Chile",us70006fh7,1575362795780,2019-12-03 16:46:35.780,2019
-178.1001,51.1867,28.0,6.0,60466176.0,"70km E of Amatignak Island, Alaska",us70006f6d,1575262914821,2019-12-02 13:01:54.821,2019
23.2284,35.7174,69.0,6.0,60466176.0,"43km NW of Platanos, Greece",us70006dlt,1574839422383,2019-11-27 15:23:42.383,2019
19.5256,41.5138,22.0,6.4,115292150.46068476,"15km WSW of Mamurras, Albania",us70006d0m,1574736852872,2019-11-26 10:54:12.872,2019
-175.5115,51.3808,20.0,6.3,98493029.18817906,"96km SE of Adak, Alaska",us70006cb6,1574556841053,2019-11-24 08:54:01.053,2019
132.8148,1.6436,5.0,6.2,83929936.58683404,"Papua region, Indonesia",us70006c6w,1574511075564,2019-11-23 20:11:15.564,2019
101.3558,19.4533,10.0,6.2,83929936.58683404,"32km ESE of Chaloem Phra Kiat, Thailand",us70006ara,1574293843955,2019-11-21 07:50:43.955,2019
153.6799,53.128,496.0,6.3,98493029.18817906,"264km NW of Ozernovskiy, Russia",us70006a9e,1574238368017,2019-11-20 16:26:08.017,2019
-93.2068,13.8859,15.0,6.3,98493029.18817906,"125km SW of Puerto Madero, Mexico",us70006a6q,1574224025252,2019-11-20 12:27:05.252,2019
126.4161,1.5361,23.0,6.0,60466176.0,"134km NW of Kota Ternate, Indonesia",us60006bpw,1573765974753,2019-11-15 05:12:54.753,2019
126.4156,1.6213,33.0,7.1,325524355.100988,"138km E of Bitung, Indonesia",us60006bjl,1573748260578,2019-11-15 00:17:40.578,2019
